transfer_id,player_name,player_page_url,player_image_url,player_position,player_age,player_value_in_euros,season,player_nationalities,old_club_name,old_league_name,new_club_name,new_league_name,transfer_fee_in_euros
77,Alisson,https://www.transfermarkt.co.uk/alisson/profil/spieler/105470,https://img.a.transfermarkt.technology/portrait/medium/105470-1668522221.jpg?lm=1,Goalkeeper,25,60000000,18/19,['Brazil'],AS Roma,Serie A,Liverpool FC,Premier League,62500000
78,Roméo Lavia,https://www.transfermarkt.co.uk/romeo-lavia/profil/spieler/628451,https://img.a.transfermarkt.technology/portrait/medium/628451-1683898478.jpg?lm=1,Defensive Midfield,19,32000000,23/24,['Belgium'],Southampton FC,Championship,Chelsea FC,Premier League,62100000
79,Leny Yoro,https://www.transfermarkt.co.uk/leny-yoro/profil/spieler/923831,https://img.a.transfermarkt.technology/portrait/medium/923831-1701768506.jpg?lm=1,Centre-Back,18,50000000,24/25,"['France', ""Cote d'Ivoire""]",LOSC Lille,Ligue 1,Manchester United,Premier League,62000000
80,Matheus Nunes,https://www.transfermarkt.co.uk/matheus-nunes/profil/spieler/601883,https://img.a.transfermarkt.technology/portrait/medium/601883-1693561106.jpg?lm=1,Central Midfield,25,45000000,23/24,"['Portugal', 'Brazil']",Wolverhampton Wanderers,Premier League,Manchester City,Premier League,62000000
81,Tanguy Ndombélé,https://www.transfermarkt.co.uk/tanguy-ndombele/profil/spieler/450936,https://img.a.transfermarkt.technology/portrait/medium/450936-1561540648.jpg?lm=1,Central Midfield,22,65000000,19/20,"['France', 'DR Congo']",Olympique Lyon,Ligue 1,Tottenham Hotspur,Premier League,62000000
82,Moussa Diaby,https://www.transfermarkt.co.uk/moussa-diaby/profil/spieler/395516,https://img.a.transfermarkt.technology/portrait/medium/395516-1642608355.jpg?lm=1,Right Winger,25,55000000,24/25,"['France', 'Mali']",Aston Villa,Premier League,Al-Ittihad Club,Saudi Pro League,60000000
83,Pedro Neto,https://www.transfermarkt.co.uk/pedro-neto/profil/spieler/487465,https://img.a.transfermarkt.technology/portrait/medium/487465-1709158892.jpg?lm=1,Right Winger,24,55000000,24/25,['Portugal'],Wolverhampton Wanderers,Premier League,Chelsea FC,Premier League,60000000
84,Christopher Nkunku,https://www.transfermarkt.co.uk/christopher-nkunku/profil/spieler/344381,https://img.a.transfermarkt.technology/portrait/medium/344381-1663686834.jpg?lm=1,Attacking Midfield,25,80000000,23/24,"['France', 'DR Congo']",RB Leipzig,Bundesliga,Chelsea FC,Premier League,60000000
85,Manuel Ugarte,https://www.transfermarkt.co.uk/manuel-ugarte/profil/spieler/476701,https://img.a.transfermarkt.technology/portrait/medium/476701-1715107512.jpg?lm=1,Defensive Midfield,22,50000000,23/24,['Uruguay'],Sporting CP,Liga Portugal,Paris Saint-Germain,Ligue 1,60000000
86,Otávio,https://www.transfermarkt.co.uk/otavio/profil/spieler/231289,https://img.a.transfermarkt.technology/portrait/medium/231289-1668697777.jpg?lm=1,Attacking Midfield,28,35000000,23/24,"['Portugal', 'Brazil']",FC Porto,Liga Portugal,Al-Nassr FC,Saudi Pro League,60000000
87,Malcom,https://www.transfermarkt.co.uk/malcom/profil/spieler/323704,https://img.a.transfermarkt.technology/portrait/medium/323704-1697052788.png?lm=1,Right Winger,26,30000000,23/24,"['Brazil', 'Russia']",Zenit St. Petersburg,Premier Liga,Al-Hilal SFC,Saudi Pro League,60000000
88,Jérémy Doku,https://www.transfermarkt.co.uk/jeremy-doku/profil/spieler/486049,https://img.a.transfermarkt.technology/portrait/medium/486049-1666699113.jpg?lm=1,Left Winger,21,28000000,23/24,"['Belgium', 'Ghana']",Stade Rennais FC,Ligue 1,Manchester City,Premier League,60000000
89,Erling Haaland,https://www.transfermarkt.co.uk/erling-haaland/profil/spieler/418560,https://img.a.transfermarkt.technology/portrait/medium/418560-1709108116.png?lm=1,Centre-Forward,21,150000000,22/23,['Norway'],Borussia Dortmund,Bundesliga,Manchester City,Premier League,60000000
90,Miralem Pjanic,https://www.transfermarkt.co.uk/miralem-pjanic/profil/spieler/44162,https://img.a.transfermarkt.technology/portrait/medium/44162-1643282459.png?lm=1,Central Midfield,30,45000000,20/21,"['Bosnia-Herzegovina', 'Luxembourg']",Juventus FC,Serie A,FC Barcelona,LaLiga,60000000
91,Naby Keïta,https://www.transfermarkt.co.uk/naby-keita/profil/spieler/302215,https://img.a.transfermarkt.technology/portrait/medium/302215-1691613796.jpg?lm=1,Central Midfield,23,65000000,18/19,['Guinea'],RB Leipzig,Bundesliga,Liverpool FC,Premier League,60000000
92,Diego Costa,https://www.transfermarkt.co.uk/diego-costa/profil/spieler/44779,https://img.a.transfermarkt.technology/portrait/medium/44779-1453805669.jpg?lm=1,Centre-Forward,29,50000000,17/18,"['Spain', 'Brazil']",Chelsea FC,Premier League,Atlético de Madrid,LaLiga,60000000
